is	S
save	SAF
saver	SAFR
savor	SA*FR
czar	SA*R
zoo	SAO*
soar	SAOR
see	SAOE
receive	SAOEF
receiver	SAOEFR
seer	SAOER
sea	SAE
essay	SA*E
satisfy	SAEF
sear	SAER
so	SO
sore	SOR
sow	SOE
sorry	SO*ER
self	S*EF
sever	SEFR
serf	S*EFR
certificate	SER
Sr.	S-R
staff	STAF
staph	STA*F
staffer	STAFR
star	STAR
steer	STAOER
satisfy	STAEF
stare	STAER
stove	STOF
store	STOR
stow	STOE
story	STOER
sister	ST-R
disease	STKAOE
deceive	STKAOEF
ask	SK
scarf	SKAFR
scar	SKAR
ski	SKAOE
skeeve	SKAOEF
skier	SKAOER
scary	SKAER
scoff	SKOF
discover	SKOFR
score	SKOR
psycho	SKOE
discovery	SKOEFR
asker	SK-R
it	T
that	TA
tar	TAR
too	TAO
Tao	TAO*
tee	TAOE
tier	TAOER
tea	TAE
active	TAEF
tear	TAER
tare	TA*ER
to	TO
tour	TOR
tore	TO*R
tow	TOE
toe	TO*E
test	TEF
testify	T*EF
TV	T*F
did	TK
door	TKAOR
deer	TKAOER
deaf	TKAEF
dear	TKAER
do	TKO
dove	TKOF
dough	TKOE
doe	TKO*E
defer	TKEFR
can	K
cave	KAF
car	KAR
coo	KAO*
cover	KAOFR
key	KAOE
clear	KAOER
cay	KA*E
carry	KAER
could	KO
cough	KOF
cover	KOFR
coffer	KO*FR
core	KOR
cove	KOEF
correspond	KOER
contraceptive	K*EF
after	AF
aver	A*FR
ooh	AO*
oof	AOF
oar	AOR
ear	AOER
avenue	AEF
eave	A*EF
to	O
off	OF
offer	OFR
or	OR
owe	OE
over	OEFR
other	OER
ore	O*ER
he	E
every	EFR
of	-F
ever	-FR
are	-R
