is	S
save	SAF
saver	SAFR
savor	SA*FR
czar	SA*R
zoo	SAO*
soar	SAOR
see	SAOE
receive	SAOEF
receiver	SAOEFR
seer	SAOER
sea	SAE
essay	SA*E
satisfy	SAEF
sear	SAER
saw	SAU
so	SO
sore	SOR
sow	SOE
sorry	SO*ER
sour	SOUR
self	S*EF
sever	SEFR
serf	S*EFR
certificate	SER
sufficient	SUF
suffer	SUFR
surf	S*UFR
Sr.	S-R
staff	STAF
staph	STA*F
staffer	STAFR
star	STAR
steer	STAOER
satisfy	STAEF
stare	STAER
stove	STOF
store	STOR
stow	STOE
story	STOER
stuff	STUF
stuffer	STUFR
sister	ST-R
disease	STKAOE
deceive	STKAOEF
ask	SK
scarf	SKAFR
scar	SKAR
ski	SKAOE
skeeve	SKAOEF
skier	SKAOER
scary	SKAER
scoff	SKOF
discover	SKOFR
score	SKOR
psycho	SKOE
discovery	SKOEFR
scow	SKOU
scour	SKOUR
scuff	SKUF
scurf	SK*UFR
secure	SKUR
asker	SK-R
it	T
that	TA
tar	TAR
too	TAO
Tao	TAO*
tee	TAOE
tier	TAOER
tea	TAE
active	TAEF
tear	TAER
tare	TA*ER
tau	TAU
to	TO
tour	TOR
tore	TO*R
tow	TOE
toe	TO*E
tower	TOUR
test	TEF
testify	T*EF
tough	TUF
tougher	TUFR
turf	T*UFR
TV	T*F
did	TK
door	TKAOR
deer	TKAOER
deaf	TKAEF
dear	TKAER
daughter	TKAUR
do	TKO
dove	TKOF
dough	TKOE
doe	TKO*E
dour	TKOUR
dower	TKO*UR
defer	TKEFR
duffer	TKUFR
can	K
cave	KAF
car	KAR
coo	KAO*
cover	KAOFR
key	KAOE
clear	KAOER
cay	KA*E
carry	KAER
caw	KAU
cougher	KAUFR
could	KO
cough	KOF
cover	KOFR
coffer	KO*FR
core	KOR
cove	KOEF
correspond	KOER
cow	KOU
cower	KOUR
contraceptive	K*EF
cuff	KUF
customer	KUFR
cur	KUR
after	AF
aver	A*FR
ooh	AO*
oof	AOF
oar	AOR
ear	AOER
avenue	AEF
eave	A*EF
awe	AU
aw	A*U
to	O
off	OF
offer	OFR
or	OR
owe	OE
over	OEFR
other	OER
ore	O*ER
ow	OU
our	OUR
he	E
every	EFR
you	U
you've	UF
UV	*UF
you're	UR
of	-F
ever	-FR
are	-R
